Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
4,12034,37746,11.19123,60.02113,7.60384,0.39198,0.01591,1.419e-05,79.24379
20,5831,44076,10.09062,58.04715,7.61297,0.53465,0.09602,9.147e-05,76.4013
50,4623,45298,10.17496,58.08604,7.63819,0.69648,0.18853,0.00019566,76.80424
100,3839,45884,10.19416,57.822,7.60488,1.00634,0.39902,0.00038739,77.04735
200,3440,46277,10.17151,57.2615,7.48079,1.36681,0.59312,0.0005812,76.89449
500,2927,46552,11.40092,68.54372,9.71379,3.30174,1.68317,0.00159256,94.66991
1000,2579,46142,13.73099,73.01929,9.67362,5.84254,3.20181,0.00290339,105.49653
2000,2429,45520,14.13989,73.39658,9.70958,7.54812,4.24241,0.0032837,109.06548
5000,2215,42780,15.40822,73.30555,9.73918,12.65855,7.40598,0.00375744,118.54814
10000,1997,37896,18.0263,73.3871,9.7485,17.83291,10.69156,0.00291962,129.71767
20000,1533,28012,26.40314,72.68712,9.74236,30.64863,18.84179,0.00299544,158.35652
50000,0,0,6.63821,73.42282,9.95008,66.27851,42.07129,0.00118858,198.40062
