NumberVoters,VoteDelegationPercent,TallyTime,VotesAgainst,VotesFor,Winner
100,0.8,0.00519807800000005,82,16,against
215,0.8,0.010987090999999949,48,121,for
464,0.8,0.023352155999999957,209,226,for
1000,0.8,0.05131148199999991,405,542,for
2154,0.8,0.11097208399999992,1276,877,against
4641,0.8,0.23716882799999994,2128,2431,for
10000,0.8,0.5129613180000001,4734,5266,for
21544,0.8,1.110360397,10593,10935,for
46416,0.8,2.40633389,23543,22872,against
100000,0.8,5.2370962070000004,49171,50821,for
215443,0.8,11.328251747000003,108067,107306,against
