Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
100,0,0,0.03487,0.02951,0.08825,0.02016,2.17e-06,0.17294
215,0,0,0.09088,0.0822,0.24543,0.05241,0.00012048,0.4712
464,0,0,0.19227,0.17489,0.52701,0.10853,3.92e-06,1.00287
1000,0,0,0.40799,0.37993,1.13564,0.23129,4.62e-06,2.15506
2154,0,0,0.87797,0.81936,2.44438,0.49394,0.00027468,4.63614
4641,0,0,1.90519,1.76191,5.26663,1.06617,0.00044351,10.00064
10000,0,0,4.20402,3.79151,11.35244,2.32185,4.8e-06,21.67011
21544,0,0,9.24374,8.16058,24.43377,5.04338,5.52e-06,46.88191
46416,0,0,20.58115,17.62338,52.51332,11.0371,5.52e-06,101.75575
100000,0,0,44.93207,37.93053,113.3964,23.9483,5.73e-06,220.2088
215443,0,0,97.90014,79.68318,244.90155,52.1021,0.00015449,474.59014
